key             binding
---             -------

C-x             Prefix Command

C-x p           projectile-command-map

C-x p ESC       projectile-project-buffers-other-buffer
C-x p !         projectile-run-shell-command-in-root
C-x p &         projectile-run-async-shell-command-in-root
C-x p 4         Prefix Command
C-x p 5         Prefix Command
C-x p ?         projectile-find-references
C-x p C         projectile-configure-project
C-x p D         projectile-dired
C-x p E         projectile-edit-dir-locals
C-x p F         projectile-find-file-in-known-projects
C-x p I         projectile-ibuffer
C-x p K         projectile-package-project
C-x p L         projectile-install-project
C-x p P         projectile-test-project
C-x p R         projectile-regenerate-tags
C-x p S         projectile-save-project-buffers
C-x p T         projectile-find-test-file
C-x p V         projectile-browse-dirty-projects
C-x p a         projectile-find-other-file
C-x p b         projectile-switch-to-buffer
C-x p c         projectile-compile-project
C-x p d         projectile-find-dir
C-x p e         projectile-recentf
C-x p f         projectile-find-file
C-x p g         projectile-find-file-dwim
C-x p i         projectile-invalidate-cache
C-x p j         projectile-find-tag
C-x p k         projectile-kill-buffers
C-x p l         projectile-find-file-in-directory
C-x p m         projectile-commander
C-x p o         projectile-multi-occur
C-x p p         projectile-switch-project
C-x p q         projectile-switch-open-project
C-x p r         projectile-replace
C-x p s         Prefix Command
C-x p t         projectile-toggle-between-implementation-and-test
C-x p u         projectile-run-project
C-x p v         projectile-vc
C-x p x         Prefix Command
C-x p z         projectile-cache-current-file
C-x p <left>    projectile-previous-project-buffer
C-x p <right>   projectile-next-project-buffer

C-x p x 4       Prefix Command
C-x p x e       projectile-run-eshell
C-x p x g       projectile-run-gdb
C-x p x i       projectile-run-ielm
C-x p x s       projectile-run-shell
C-x p x t       projectile-run-term
C-x p x v       projectile-run-vterm

C-x p s g       projectile-grep
C-x p s r       projectile-ripgrep
C-x p s s       projectile-ag
C-x p s x       projectile-find-references

C-x p 5 D       projectile-dired-other-frame
C-x p 5 a       projectile-find-other-file-other-frame
C-x p 5 b       projectile-switch-to-buffer-other-frame
C-x p 5 d       projectile-find-dir-other-frame
C-x p 5 f       projectile-find-file-other-frame
C-x p 5 g       projectile-find-file-dwim-other-frame
C-x p 5 t       projectile-find-implementation-or-test-other-frame

C-x p 4 C-o     projectile-display-buffer
C-x p 4 D       projectile-dired-other-window
C-x p 4 a       projectile-find-other-file-other-window
C-x p 4 b       projectile-switch-to-buffer-other-window
C-x p 4 d       projectile-find-dir-other-window
C-x p 4 f       projectile-find-file-other-window
C-x p 4 g       projectile-find-file-dwim-other-window
C-x p 4 t       projectile-find-implementation-or-test-other-window

C-x p x 4 v     projectile-run-vterm-other-window

